Type,SourceAddr,Length,Command,Payload
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 48 00 a0 fa b8"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f9 01 4b a9 90"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 43 00 fd 0a 33"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
"Normal","0xa5 GPU","5","0x6c heartbeat","03 03 10 e9 d1"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 46 00 af d9 9a"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Normal","0xa5 GPU","4","0x42 Unknown","01 70 20 56"
"Diag","0xff BCST","7","0x24 ovenLightState","00 06 00 00 47 b3 dd"
"Normal","0x45 OVC1","6","0x2c reportOpenRTD","03 01 00 13 11 8b"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 01 f8 01 7a 9a 93"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 42 00 cc 39 30"
"Normal","0x25 OUI","4","0x42 Unknown","01 48 fd 33"
"Normal","0x45 OVC1","7","0x2e tempMonitor","03 0c 41 00 9f 6c 35"
"Normal","0x65 OVC2","7","0x2e tempMonitor","03 01 47 00 9e ea 99"
